Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
HINDUNILVR,"2,463.55","2,466.95","2,428.10","2,436.60",-20.9,-0.85,5.17,126.11,"2,734.00","1,901.55",0.49,-5.94
BAJFINANCE,"7,011.00","7,034.85","6,915.35","6,962.40",-63.35,-0.9,4.55,316.2,"8,045.00","5,220.00",-7.59,-5.34
HDFCLIFE,527.1,532.15,525.6,527.3,-5.6,-1.05,12.97,68.5,723.95,497.05,-26.21,0.68
HINDALCO,455.55,455.55,451.2,451.75,-5.15,-1.13,19.66,89.02,636,308.95,-0.91,16.34
APOLLOHOSP,"4,605.00","4,610.00","4,538.25","4,550.35",-61.6,-1.34,1.37,62.61,"5,935.40","3,361.55",-10.44,6.05
DIVISLAB,"3,327.00","3,331.95","3,265.00","3,281.35",-45.25,-1.36,3.47,113.93,"5,077.70","3,195.15",-33.14,-8.31
JSWSTEEL,720.5,721.95,711.3,711.8,-10.55,-1.46,4.05,28.99,790,520.05,7.6,12.72
TATASTEEL,108.45,108.8,106.65,106.95,-1.6,-1.47,165.94,178.29,138.67,82.7,-91.41,7.43
NATIONALUM,,,,77.35,,,,,,,,
BANKBARODA,,,,164.25,,,,,,,,
PNB,,,,44.75,,,,,,,,
